complete,closeMid,highMid,lowMid,volume,openMid,time
True,108.914,108.914,108.8925,19,108.9075,2016-05-16T02:45:00.000000Z
True,108.896,108.925,108.896,43,108.9175,2016-05-16T02:46:00.000000Z
True,108.894,108.8965,108.8835,25,108.8925,2016-05-16T02:47:00.000000Z
True,108.8945,108.898,108.885,14,108.8935,2016-05-16T02:48:00.000000Z
True,108.8935,108.9045,108.886,14,108.8975,2016-05-16T02:49:00.000000Z
True,108.901,108.903,108.8885,19,108.8975,2016-05-16T02:50:00.000000Z
True,108.893,108.912,108.893,20,108.901,2016-05-16T02:51:00.000000Z
True,108.897,108.906,108.8625,61,108.894,2016-05-16T02:52:00.000000Z
True,108.891,108.901,108.891,9,108.8975,2016-05-16T02:53:00.000000Z
True,108.874,108.8875,108.874,5,108.8875,2016-05-16T02:54:00.000000Z
True,108.916,108.9225,108.8745,50,108.8745,2016-05-16T02:55:00.000000Z
True,108.9195,108.927,108.914,27,108.9165,2016-05-16T02:56:00.000000Z
True,108.9335,108.938,108.9195,13,108.9195,2016-05-16T02:57:00.000000Z
True,108.9615,108.9615,108.926,18,108.9345,2016-05-16T02:58:00.000000Z
True,108.9775,108.9855,108.9415,69,108.965,2016-05-16T02:59:00.000000Z
True,108.955,108.9825,108.955,39,108.9805,2016-05-16T03:00:00.000000Z
True,108.958,108.9685,108.9485,37,108.9555,2016-05-16T03:01:00.000000Z
True,108.9685,108.972,108.9575,22,108.958,2016-05-16T03:02:00.000000Z
True,108.9605,108.9685,108.9535,17,108.9685,2016-05-16T03:03:00.000000Z
True,108.9395,108.9625,108.93,33,108.957,2016-05-16T03:04:00.000000Z
True,108.9445,108.9445,108.9325,14,108.943,2016-05-16T03:05:00.000000Z
True,108.938,108.9485,108.938,8,108.9485,2016-05-16T03:06:00.000000Z
True,108.9515,108.959,108.9265,59,108.9405,2016-05-16T03:07:00.000000Z
True,108.959,108.9665,108.9525,15,108.9525,2016-05-16T03:08:00.000000Z
True,108.951,108.963,108.9395,17,108.9595,2016-05-16T03:09:00.000000Z
True,108.9615,108.9615,108.9535,10,108.9545,2016-05-16T03:10:00.000000Z
True,108.951,108.96,108.9485,15,108.96,2016-05-16T03:11:00.000000Z
True,108.952,108.96,108.951,12,108.951,2016-05-16T03:12:00.000000Z
True,108.9645,108.9645,108.9505,9,108.952,2016-05-16T03:13:00.000000Z
True,108.9575,108.974,108.9575,11,108.9675,2016-05-16T03:14:00.000000Z
True,108.964,108.966,108.9545,16,108.9545,2016-05-16T03:15:00.000000Z
True,108.9625,108.968,108.9595,12,108.962,2016-05-16T03:16:00.000000Z
True,108.959,108.9685,108.959,12,108.9595,2016-05-16T03:17:00.000000Z
True,108.9565,108.9665,108.944,29,108.963,2016-05-16T03:18:00.000000Z
True,108.9505,108.956,108.9455,7,108.956,2016-05-16T03:19:00.000000Z
True,108.956,108.965,108.954,12,108.954,2016-05-16T03:20:00.000000Z
True,108.9425,108.956,108.937,16,108.956,2016-05-16T03:21:00.000000Z
